,Comment,Type,User_Id,Intent,PIC
33,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
34,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
35,"Hay
",comments,https://www.facebook.com100008354801713,,
36,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
37,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
38,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
39,"Oanh le
",comments,https://www.facebook.com100007121790187,,
40,"Nhà này diện tích bao nhiêu vậy bạn
",comments,https://www.facebook.com100010186260543,Hình thức kinh doanh ,Hiếu
41,"Toi ở phường 3tay ninh,không biết chô nao
",comments,https://www.facebook.com100009376604189,,
42,"Địa chi cu the
",comments,https://www.facebook.com100026892450093,,
43,"Cho minh dia chi dien tich
",comments,https://www.facebook.com100008022541527,Nhắn tin riêng,Huỳnh Ngọc Thiện
44,".
",comments,https://www.facebook.com100005120940025,,
45,".
",comments,https://www.facebook.com100004809526014,,
46,"Inox mình
",comments,https://www.facebook.com100005041562149,Nhắn tin riêng,Huỳnh Ngọc Thiện
47,"Nguyễn Nhật mình sắp đủ rùi hỉ! Còn tầm 1ty950 nữa 😂😂😂
",comments,https://www.facebook.com100000272503540,Tag bạn bè,Huỳnh Ngọc Thiện
48,".
",comments,https://www.facebook.com100015332018033,,
49,"Ib
",comments,https://www.facebook.com100008233807466,Nhắn tin riêng,Huỳnh Ngọc Thiện
50,"Đậu Đậu lên Tây ninh ở hehe
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
51,"Huýnh Đừc 2 c e mình mua căn ở hỉ 😂😂😂
",comments,https://www.facebook.com100000272503540,Tag bạn bè,Huỳnh Ngọc Thiện
52,"Inbox
",comments,https://www.facebook.com100003294178551,Nhắn tin riêng,Huỳnh Ngọc Thiện
53,"Xin địa chi va dien tích nha
",comments,https://www.facebook.com100003250873476,,
54,"Huy 0914981456 tư vấn dùm nha add
",comments,https://www.facebook.com100013776330586,Nhắn tin riêng,Huỳnh Ngọc Thiện
55,"lh mình muốn thông tin về nhà phố 0937591533
",comments,https://www.facebook.com100004178233726,Nhắn tin riêng,Huỳnh Ngọc Thiện
56,"Anh Phương xem nè.
",comments,https://www.facebook.com100008317490800,Tag bạn bè,Huỳnh Ngọc Thiện
57,"1 tờ vs
",comments,https://www.facebook.com100009957241734,,
58,"Ở đâu, khi nào bán vậy
",comments,https://www.facebook.com100003690203843,,
59,"Mỹ Hoa mua nay o dc ne .. rẻ
",comments,https://www.facebook.com100010019683506,Tag bạn bè,Huỳnh Ngọc Thiện
60,"2 tỏi 2, về Tây Ninh ở với t đi Hai Le. Kkk
",comments,https://www.facebook.com100001535033140,Tag bạn bè,Huỳnh Ngọc Thiện
61,"Vị trí dự án nằm trong hẻm chứ không phải nằm ngoài mặt tiền đúng ko bạn? Có phải chỗ nghĩa địa mới giải tỏa ko?
",comments,https://www.facebook.com100022669474712,Tag bạn bè,Huỳnh Ngọc Thiện
62,"Vi tri nam o dau vay ban
",comments,https://www.facebook.com100005990466784,,
63,"Cho biết diện tích đi. Muốn tham qyan thì làm thế nào?
",comments,https://www.facebook.com100005396354268,"Tham quan, xem mẫu",Huỳnh Ngọc Thiện
64,"Vay vốn với lãi xuất bao nhiêu
",comments,https://www.facebook.com100002456222050,Phương thức thanh toán,Hiếu
65,"Ib vi tri
",comments,https://www.facebook.com100007121790187,Nhắn tin riêng,Huỳnh Ngọc Thiện
66,"Ib
",comments,https://www.facebook.com100018167829796,Nhắn tin riêng,Huỳnh Ngọc Thiện
67,"Nha nay o dau
",comments,https://www.facebook.com100007420893185,,
68,"sao k thấy địa chỉ và kích thước nhà nhỉ chỉ nói chung chung
",comments,https://www.facebook.com100011649035843,Hình thức kinh doanh,Hiếu
69,"inbox
",comments,https://www.facebook.com100003352024731,Nhắn tin riêng,Huỳnh Ngọc Thiện
70,"Xin thong tin ve biết thu mini
",comments,https://www.facebook.com100005583781010,Hỏi thông tin chung chung,
71,"0943006363 can tu van
",comments,https://www.facebook.com100006356406061,Nhắn tin riêng,Huỳnh Ngọc Thiện
72,"Có thể ib cho thêm thông tin chi tiết ko ad?
",comments,https://www.facebook.com100005156044894,Nhắn tin riêng,Huỳnh Ngọc Thiện
73,"Diện tích bn ạ
",comments,https://www.facebook.com100006879397781,,
74,"Quan tâm
",comments,https://www.facebook.com100006707523840,Nhắn tin riêng,Huỳnh Ngọc Thiện
75,"cho đia chỉ cụ thể
",comments,https://www.facebook.com100021403410128,,
76,"Nha dt bao nhieu vay anh
",comments,https://www.facebook.com100014487679048,,
77,"Diện tích bao nhiêu vậy nhà đầu tư
",comments,https://www.facebook.com100011460314697,,
78,"Nam o đau?
",comments,https://www.facebook.com100015122893897,,
79,"Đặng Hoàng Tiểu My khu này ở đâu nhìn đã zạ? Đẹp như ở nước ngoài luôn
",comments,https://www.facebook.com100004259862417,Tag bạn bè,Huỳnh Ngọc Thiện
80,"Dt báo nhiêu m2 vậy trang trí nội thất chưa vậy
",comments,https://www.facebook.com100022259629048,,
81,"Bao m2 vậy ban
",comments,https://www.facebook.com100016730404911,,
82,"Dien tich bao nhiu.co noi that chua ma gia nhiu do zay ban.ho tro vay 1ty5 tra bao lau
",comments,https://www.facebook.com100005341627882,Hỏi giá,KHANG
83,"Muốn mua lắm nhưng thiếu tiền
",comments,https://www.facebook.com100012298388944,,
84,"Mình muốn thong tin và tu van tôi 0909556000
",comments,https://www.facebook.com100022952837214,Nhắn tin riêng,Huỳnh Ngọc Thiện
85,"Khu nào gần đâu vậy ad
",comments,https://www.facebook.com100004414693887,,
86,"Cung mới mua hả thương
",comments,https://www.facebook.com100035734456962,,
87,"0908338792 tu van cho minh nhe b
",comments,https://www.facebook.com100009762185307,Nhắn tin riêng,Huỳnh Ngọc Thiện
88,"Inbox vị trí nha bạn
",comments,https://www.facebook.com100007544503507,Nhắn tin riêng,Huỳnh Ngọc Thiện
89,"cho mình thông tin cụ thể.
",comments,https://www.facebook.com100001695640913,Nhắn tin riêng,Huỳnh Ngọc Thiện
90,"Hay
",comments,https://www.facebook.com100008354801713,,
91,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
92,"Oanh le
",comments,https://www.facebook.com100007121790187,,
93,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
94,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
95,"Ib
",comments,https://www.facebook.com100007454146457,Nhắn tin riêng,Huỳnh Ngọc Thiện
96,"Nhà hoàn thiện chưa bao nhiu m2
",comments,https://www.facebook.com100010658102518,"Hỏi , Hình thức kinh doanh",KHANG Hiếu
97,"Ghét nhất là Ib\n\nKhách mà dẫn dắt đc thì ít (Ko đc nhiều đối tác) \nCạnh tranh bằng công khai qua chất lượng, địa điểm giá.... \n\nMuốn tham khảo mà bị dẫn dắt rất mệt
",comments,https://www.facebook.com100007329550440,"Tham quan, xem mẫu",Huỳnh Ngọc Thiện
98,"Gần nhà mình nè Anh Phương .
",comments,https://www.facebook.com100008317490800,Tag bạn bè,Huỳnh Ngọc Thiện
99,"Ib nha ad
",comments,https://www.facebook.com100011715227708,Nhắn tin riêng,Huỳnh Ngọc Thiện
100,"Ibox
",comments,https://www.facebook.com100035687543824,Nhắn tin riêng,Huỳnh Ngọc Thiện
101,"Bán nhà mà không Để điện thoại không nói rõ địa chỉ chỉ mua ở đâu lên trời mua à
",comments,https://www.facebook.com100021687557672,"Tag bạn , Hình thức kinh doanh",Huỳnh Ngọc Thiện
102,"Nguyễn Thị Diễm Trinh keu chi lan mua ne.
",comments,https://www.facebook.com100000321341566,Tag bạn bè,Huỳnh Ngọc Thiện
103,"Noi to thong tin chi thiet , dt nhe .thanks
",comments,https://www.facebook.com100031187930681,Nhắn tin riêng,Huỳnh Ngọc Thiện
104,"Ib nhé
",comments,https://www.facebook.com100009752974790,Nhắn tin riêng,Huỳnh Ngọc Thiện
105,"Ib
",comments,https://www.facebook.com100004164002541,Nhắn tin riêng,Huỳnh Ngọc Thiện
106,"Vị trí này ở đâu zi bạn.
",comments,https://www.facebook.com100000408302948,,
107,"Inbox
",comments,https://www.facebook.com100001708872878,Nhắn tin riêng,Huỳnh Ngọc Thiện
108,"Vị trí ở đâu ad
",comments,https://www.facebook.com100026132258137,,
109,"Inbox vị trí nha bạn
",comments,https://www.facebook.com100004263990788,Nhắn tin riêng,Huỳnh Ngọc Thiện
110,"Ib
",comments,https://www.facebook.com100005654681295,Nhắn tin riêng,Huỳnh Ngọc Thiện
111,"Inbox với ad
",comments,https://www.facebook.com100029751982703,Nhắn tin riêng,Huỳnh Ngọc Thiện
112,"Vị trí ở đâu vây ạ
",comments,https://www.facebook.com100022725197671,,
113,"Inbox nha
",comments,https://www.facebook.com100004666658058,Nhắn tin riêng,Huỳnh Ngọc Thiện
114,"Ib vi tri nha b
",comments,https://www.facebook.com100004856825347,Nhắn tin riêng,Huỳnh Ngọc Thiện
115,"Inbox.
",comments,https://www.facebook.com100003742305536,Nhắn tin riêng,Huỳnh Ngọc Thiện
116,"Ib vị trí ạ
",comments,https://www.facebook.com100003184045186,Nhắn tin riêng,Huỳnh Ngọc Thiện
117,"Ib
",comments,https://www.facebook.com100003481528146,Nhắn tin riêng,Huỳnh Ngọc Thiện
118,"Inbox nha ban
",comments,https://www.facebook.com100007420055452,Nhắn tin riêng,Huỳnh Ngọc Thiện
119,"Cho xin địa chỉ nha bạn
",comments,https://www.facebook.com100006574488520,Nhắn tin riêng,Huỳnh Ngọc Thiện
120,"inbox nha ad
",comments,https://www.facebook.com100008639673426,Nhắn tin riêng,Huỳnh Ngọc Thiện
121,"Inbox nha
",comments,https://www.facebook.com100011283516349,Nhắn tin riêng,Huỳnh Ngọc Thiện
122,".
",comments,https://www.facebook.com100005587927749,,
123,"Ở chỗ nào v ad
",comments,https://www.facebook.com100000272503540,,
124,"Inbox với ad
",comments,https://www.facebook.com100029751982703,Nhắn tin riêng,Huỳnh Ngọc Thiện
125,"Ở đâu,xin ib.Cảm ơn
",comments,https://www.facebook.com100008615254323,Nhắn tin riêng,Huỳnh Ngọc Thiện
126,"xin vi tri
",comments,https://www.facebook.com100009065430635,Nhắn tin riêng,Huỳnh Ngọc Thiện
127,"Ib nhé
",comments,https://www.facebook.com100025346106795,Nhắn tin riêng,Huỳnh Ngọc Thiện
128,"Inbox vị trí nha ban
",comments,https://www.facebook.com100017655558041,Nhắn tin riêng,Huỳnh Ngọc Thiện
129,"Hay
",comments,https://www.facebook.com100008354801713,,
130,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
131,"Oanh le
",comments,https://www.facebook.com100007121790187,,
132,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
133,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
134,"Hay
",comments,https://www.facebook.com100008354801713,,
135,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
136,"Oanh le
",comments,https://www.facebook.com100007121790187,,
137,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
138,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
139,"Cần bán ở tân châu lien he 0986989152
",comments,https://www.facebook.com100036543825163,Nhắn tin riêng,Huỳnh Ngọc Thiện
140,"Bán Nhà Gấp 1.7 Tỷ Ngay Chợ Thị Xã.. \nAlo 0913.730.213 A Điền
",comments,https://www.facebook.com100002859521004,"Tag bạn , Hình thức kinh doanh",Huỳnh Ngọc Thiện
141,"Hạ tầng Ok nhưng còn vắng vẻ lắm toàn CB ở đa số
",comments,https://www.facebook.com100010772925659,Tag bạn bè,Huỳnh Ngọc Thiện
142,"Quoc Thai
",comments,https://www.facebook.com100008047365941,Tag bạn bè,Huỳnh Ngọc Thiện
143,"Ib mình lô 2 sổ nhé
",comments,https://www.facebook.com100013982741557,"Nhắn tin , Sổ hồng/Sổ đỏ","Huỳnh Ngọc , Hiếu"
144,"Thiên Tú Lâm ngon nè m😃
",comments,https://www.facebook.com100022028678650,Tag bạn bè,Huỳnh Ngọc Thiện
145,"
",comments,https://www.facebook.com100002249763067,,
146,"Quang Vinh Dang dứt 😂😂😂
",comments,https://www.facebook.com100000374065325,Tag bạn bè,Huỳnh Ngọc Thiện
147,"Hòa Ken coi bộ đc đó. Tém đi ku :D
",comments,https://www.facebook.com100001474480025,Tag bạn bè,Huỳnh Ngọc Thiện
148,"Mua nè bán đi
",comments,https://www.facebook.com100025049745450,,
